Ammo Description,CARTRIDGE,BULLET,BULLET,BULLET,ITEM #,B.C.,Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Velocity (m/sec),Energy (joules),Energy (joules),Energy (joules),Energy (joules),Energy (joules),Energy (joules),Energy (joules),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),Trajectory Tables (cm),GEE,GEE Trajectory,GEE Trajectory,GEE Trajectory,GEE Trajectory,GEE Trajectory,GEE Trajectory,GEE Trajectory
Product Line,CARTRIDGE,BULLET,Weight (gr.),Weight (g),ITEM #,B.C.,0m,50m,100m,150m,200m,250m,300m,0m,50m,100m,150m,200m,250m,300m,0m,50m,100m,150m,200m,250m,300m,GEE,0m,50m,100m,150m,200m,250m,300m
SV,222 Rem,50 gr. V-MAX,50.0,3.2,8316,0.242,1020.0,951.0,884.0,820.0,759.0,700.0,643.0,1684.0,1465.0,1267.0,1090.0,933.0,793.0,669.0,-5.0,-1.1,0.0,-2.0,-7.7,-17.6,-32.5,203.0,-5.0,0.9,4.0,4.0,0.3,-7.6,-20.5
B,5.45 x 39mm,"60 gr. V-MAX (16"" Bbl)",60.0,3.9,81247,0.285,856.0,803.0,752.0,702.0,654.0,608.0,563.0,1426.0,1255.0,1099.0,958.0,832.0,718.0,616.0,-5.0,-0.6,0.0,-3.7,-12.5,-26.9,-48.1,172.0,-5.0,1.4,4.0,2.3,-4.5,-16.9,-36.1
SV,223 Rem,35 gr. NTX,35.0,2.3,83266,0.177,1219.0,1116.0,1017.0,923.0,833.0,748.0,668.0,1686.0,1412.0,1173.0,966.0,788.0,635.0,506.0,-5.0,-1.5,0.0,-0.9,-4.6,-11.9,-23.6,236.0,-5.0,0.5,4.0,5.1,3.4,-1.9,-11.6
SV,223 Rem,53 gr. V-MAX,53.0,3.4,8025,0.29,1056.0,997.0,940.0,885.0,831.0,779.0,729.0,1916.0,1708.0,1519.0,1345.0,1187.0,1043.0,913.0,-5.0,-1.3,0.0,-1.5,-6.2,-14.4,-26.6,218.0,-5.0,0.7,4.0,4.5,1.8,-4.4,-14.6
CD,223 Rem,55 gr. FTX,55.0,3.6,80270,0.175,988.0,895.0,806.0,723.0,644.0,569.0,499.0,1738.0,1427.0,1159.0,931.0,738.0,577.0,444.0,-5.0,-1.0,0.0,-2.8,-10.4,-23.8,-44.9,184.0,-5.0,1.0,4.0,3.2,-2.4,-13.8,-32.9
AG,223 Rem,55 gr. HP,55.0,3.6,80237,0.223,988.0,914.0,844.0,776.0,712.0,650.0,590.0,1738.0,1490.0,1269.0,1074.0,902.0,752.0,621.0,-5.0,-1.0,0.0,-2.4,-8.9,-20.3,-37.4,193.0,-5.0,1.0,4.0,3.6,-0.9,-10.3,-25.4
C,223 Rem,55 gr. SP,55.0,3.6,80255,0.235,985.0,915.0,848.0,784.0,722.0,663.0,606.0,1727.0,1492.0,1282.0,1095.0,929.0,783.0,654.0,-5.0,-1.0,0.0,-2.4,-8.8,-19.9,-36.5,194.0,-5.0,1.0,4.0,3.6,-0.8,-9.9,-24.5
C,223 Rem,55 gr. FMJ-BT,55.0,3.6,80275,0.243,978.0,911.0,847.0,785.0,725.0,667.0,612.0,1706.0,1480.0,1278.0,1097.0,936.0,794.0,668.0,-5.0,-1.0,0.0,-2.4,-8.8,-19.9,-36.5,194.0,-5.0,1.0,4.0,3.6,-0.8,-9.9,-24.5
SF,223 Rem,55 gr. CX,55.0,3.6,832744,0.245,991.0,924.0,859.0,797.0,737.0,679.0,624.0,1749.0,1521.0,1315.0,1132.0,968.0,823.0,695.0,-5.0,-1.1,0.0,-2.3,-8.4,-19.1,-35.0,197.0,-5.0,0.9,4.0,3.7,-0.4,-9.1,-23.0
V,223 Rem,55 gr. V-MAX,55.0,3.6,8327,0.255,988.0,923.0,861.0,801.0,744.0,688.0,635.0,1738.0,1519.0,1322.0,1145.0,986.0,844.0,718.0,-5.0,-1.1,0.0,-2.3,-8.3,-18.8,-34.5,197.0,-5.0,0.9,4.0,3.7,-0.3,-8.8,-22.5
B,223 Rem,62 gr. FMJ,62.0,4.0,80234,0.274,945.0,887.0,830.0,775.0,723.0,672.0,623.0,1794.0,1579.0,1384.0,1208.0,1049.0,906.0,779.0,-5.0,-0.9,0.0,-2.6,-9.3,-20.8,-37.6,190.0,-5.0,1.1,4.0,3.4,-1.3,-10.8,-25.6
CD,223 Rem,73 gr. FTX,73.0,4.7,80260,0.26,850.0,792.0,737.0,683.0,631.0,581.0,533.0,1711.0,1485.0,1283.0,1102.0,941.0,799.0,673.0,-5.0,-0.5,0.0,-4.0,-13.2,-28.7,-51.4,168.0,-5.0,1.5,4.0,2.0,-5.2,-18.7,-39.4
M,223 Rem,73 gr. ELD Match,73.0,4.7,80269,0.398,850.0,812.0,775.0,739.0,703.0,669.0,635.0,1711.0,1561.0,1421.0,1291.0,1170.0,1058.0,954.0,-5.0,-0.6,0.0,-3.4,-11.4,-24.3,-42.7,176.0,-5.0,1.4,4.0,2.6,-3.4,-14.3,-30.7
B,223 Rem,75 gr. BTHP,75.0,4.9,80267,0.395,850.0,812.0,775.0,738.0,702.0,667.0,633.0,1757.0,1602.0,1458.0,1323.0,1198.0,1082.0,975.0,-5.0,-0.6,0.0,-3.5,-11.4,-24.3,-42.8,176.0,-5.0,1.4,4.0,2.5,-3.4,-14.3,-30.8
M,223 Rem,75 gr. BTHP,75.0,4.9,8026,0.395,850.0,812.0,775.0,738.0,702.0,667.0,633.0,1757.0,1602.0,1458.0,1323.0,1198.0,1082.0,975.0,-5.0,-0.6,0.0,-3.5,-11.4,-24.3,-42.8,176.0,-5.0,1.4,4.0,2.5,-3.4,-14.3,-30.8
SM,223 Rem,75 gr. BTHP,75.0,4.9,80264,0.395,893.0,854.0,815.0,777.0,741.0,705.0,670.0,1938.0,1771.0,1615.0,1469.0,1333.0,1207.0,1090.0,-5.0,-0.8,0.0,-2.9,-9.8,-21.2,-37.6,186.0,-5.0,1.2,4.0,3.1,-1.8,-11.2,-25.6
B,5.56 NATO,"62 gr. FMJ (20"" Bbl)",62.0,4.0,81263,0.274,933.0,875.0,819.0,764.0,712.0,662.0,613.0,1748.0,1537.0,1346.0,1174.0,1019.0,879.0,755.0,-5.0,-0.9,0.0,-2.8,-9.7,-21.6,-39.0,187.0,-5.0,1.1,4.0,3.2,-1.7,-11.6,-27.0
SM,5.56 NATO,"75 gr. BTHP (20"" Bbl)",75.0,4.9,81264,0.355,887.0,843.0,801.0,759.0,719.0,680.0,642.0,1912.0,1728.0,1558.0,1401.0,1256.0,1123.0,1000.0,-5.0,-0.8,0.0,-3.1,-10.4,-22.4,-39.8,183.0,-5.0,1.2,4.0,2.9,-2.4,-12.4,-27.8
V,224 Valkyrie,60 gr. V-MAX W/C,60.0,3.9,81531,0.265,1006.0,943.0,883.0,824.0,768.0,714.0,661.0,1967.0,1730.0,1516.0,1322.0,1147.0,990.0,850.0,-5.0,-1.1,0.0,-2.0,-7.7,-17.5,-32.1,203.0,-5.0,0.9,4.0,4.0,0.3,-7.5,-20.1
B,224 Valkyrie,75 gr. BTHP,75.0,4.9,81532,0.395,914.0,874.0,835.0,797.0,760.0,724.0,688.0,2032.0,1858.0,1696.0,1545.0,1403.0,1272.0,1151.0,-5.0,-0.9,0.0,-2.6,-9.1,-19.8,-35.2,191.0,-5.0,1.1,4.0,3.4,-1.1,-9.8,-23.2
M,224 Valkyrie,88 gr. ELD Match,88.0,5.7,81534,0.545,815.0,788.0,761.0,735.0,709.0,684.0,659.0,1896.0,1771.0,1653.0,1540.0,1434.0,1333.0,1237.0,-5.0,-0.5,0.0,-3.7,-12.0,-25.1,-43.5,173.0,-5.0,1.5,4.0,2.3,-4.0,-15.1,-31.5
SV,22-250 Rem,35 gr. NTX,35.0,2.3,8334,0.177,1356.0,1247.0,1142.0,1041.0,945.0,854.0,768.0,2086.0,1763.0,1478.0,1229.0,1014.0,827.0,668.0,-5.0,-1.7,0.0,-0.2,-2.6,-7.8,-16.4,270.0,-5.0,0.3,4.0,5.8,5.4,2.2,-4.4
V,22-250 Rem,50 gr. V-MAX,50.0,3.2,8336,0.242,1158.0,1084.0,1013.0,944.0,877.0,813.0,751.0,2173.0,1905.0,1662.0,1443.0,1247.0,1071.0,915.0,-5.0,-1.5,0.0,-0.9,-4.6,-11.5,-22.1,238.0,-5.0,0.5,4.0,5.1,3.4,-1.5,-10.1
SV,22-250 Rem,50 gr. V-MAX,50.0,3.2,83366,0.242,1219.0,1143.0,1070.0,998.0,930.0,864.0,800.0,2408.0,2117.0,1854.0,1615.0,1401.0,1208.0,1036.0,-5.0,-1.6,0.0,-0.6,-3.6,-9.5,-18.7,254.0,-5.0,0.4,4.0,5.4,4.4,0.5,-6.7
V,22-250 Rem,55 gr. V-MAX,55.0,3.6,8337,0.255,1122.0,1053.0,986.0,921.0,859.0,799.0,741.0,2242.0,1975.0,1733.0,1513.0,1315.0,1137.0,978.0,-5.0,-1.4,0.0,-1.1,-5.2,-12.5,-23.7,231.0,-5.0,0.6,4.0,4.9,2.8,-2.5,-11.7
V,220 Swift,55 gr. V-MAX,55.0,3.6,8324,0.255,1122.0,1053.0,986.0,921.0,859.0,799.0,741.0,2242.0,1975.0,1733.0,1513.0,1315.0,1137.0,978.0,-5.0,-1.4,0.0,-1.1,-5.2,-12.5,-23.7,231.0,-5.0,0.6,4.0,4.9,2.8,-2.5,-11.7
PH,6mm ARC,103 gr. ELD-X,103.0,6.7,81602,0.512,853.0,824.0,794.0,766.0,738.0,710.0,683.0,2431.0,2264.0,2107.0,1957.0,1816.0,1682.0,1556.0,-5.0,-0.7,0.0,-3.2,-10.6,-22.5,-39.2,181.0,-5.0,1.3,4.0,2.8,-2.6,-12.5,-27.2
B,6mm ARC,105 gr. BTHP,105.0,6.8,81604,0.53,838.0,810.0,782.0,754.0,727.0,701.0,675.0,2390.0,2231.0,2079.0,1936.0,1800.0,1671.0,1549.0,-5.0,-0.6,0.0,-3.4,-11.1,-23.4,-40.7,178.0,-5.0,1.4,4.0,2.6,-3.1,-13.4,-28.7
M,6mm ARC,108 gr. ELD Match,108.0,7.0,81608,0.536,838.0,810.0,782.0,755.0,729.0,702.0,677.0,2459.0,2296.0,2142.0,1996.0,1857.0,1726.0,1602.0,-5.0,-0.6,0.0,-3.4,-11.1,-23.3,-40.6,178.0,-5.0,1.4,4.0,2.6,-3.1,-13.3,-28.6
SV,243 Win,58 gr. V-MAX,58.0,3.8,8343,0.25,1196.0,1123.0,1053.0,985.0,919.0,855.0,794.0,2690.0,2372.0,2084.0,1822.0,1586.0,1374.0,1183.0,-5.0,-1.5,0.0,-0.7,-3.9,-10.0,-19.5,250.0,-5.0,0.5,4.0,5.3,4.1,-0.0,-7.5
SV,243 Win,75 gr. V-MAX,75.0,4.9,83433,0.33,1091.0,1039.0,987.0,937.0,888.0,841.0,795.0,2894.0,2621.0,2368.0,2134.0,1918.0,1719.0,1535.0,-5.0,-1.4,0.0,-1.2,-5.1,-12.2,-22.7,232.0,-5.0,0.6,4.0,4.8,2.9,-2.2,-10.7
O,243 Win,80 gr. CX,80.0,5.2,804574,0.273,975.0,916.0,858.0,802.0,748.0,696.0,646.0,2466.0,2174.0,1908.0,1668.0,1451.0,1256.0,1081.0,-5.0,-1.0,0.0,-2.3,-8.4,-18.9,-34.5,197.0,-5.0,1.0,4.0,3.7,-0.4,-8.9,-22.5
CL,243 Win,87 gr. SST,87.0,5.6,80466,0.4,853.0,815.0,778.0,742.0,707.0,672.0,639.0,2053.0,1875.0,1708.0,1553.0,1408.0,1274.0,1149.0,-5.0,-0.7,0.0,-3.4,-11.2,-24.0,-42.2,177.0,-5.0,1.3,4.0,2.6,-3.2,-14.0,-30.2
C,243 Win,87 gr. V-MAX,87.0,5.6,80468,0.4,988.0,946.0,906.0,867.0,828.0,790.0,754.0,2749.0,2525.0,2314.0,2117.0,1933.0,1761.0,1601.0,-5.0,-1.1,0.0,-1.9,-7.0,-15.7,-28.3,210.0,-5.0,0.9,4.0,4.1,1.0,-5.7,-16.3
PH,243 Win,90 gr. ELD-X,90.0,5.8,80462,0.41,960.0,921.0,882.0,844.0,807.0,771.0,735.0,2688.0,2471.0,2268.0,2077.0,1899.0,1732.0,1576.0,-5.0,-1.1,0.0,-2.1,-7.6,-17.0,-30.4,203.0,-5.0,0.9,4.0,3.9,0.4,-7.0,-18.4
